wdpaid,lc_2000,lc_2010,areakm2
191,No data,Grassland (2010),0.0009
191,Forest,Forest (2010),2262.879
191,Forest,Ocean (2010),0.5688
191,Forest,Grassland (2010),236.9034
191,Forest,Wetland (2010),0.3699
191,Forest,Water (2010),0.0045
191,Forest,Bare land (2010),136.4184
191,Ocean,Forest (2010),1.5966
191,Ocean,Ocean (2010),66604.8528
191,Ocean,Grassland (2010),2.3832
191,Ocean,Shrubland (2010),0.0108
191,Ocean,Wetland (2010),0.2547
191,Ocean,Water (2010),0.0909
191,Ocean,Bare land (2010),0.8433
191,Grassland,No data (2010),0.0054
191,Grassland,Forest (2010),514.9215
191,Grassland,Ocean (2010),2.1159
191,Grassland,Grassland (2010),855.999
191,Grassland,Shrubland (2010),2.5074
191,Grassland,Wetland (2010),0.1836
191,Grassland,Water (2010),0.0396
191,Grassland,Artificial land (2010),0.0405
191,Grassland,Bare land (2010),43.3845
191,Shrubland,Forest (2010),0.1305
191,Shrubland,Ocean (2010),0.0018
191,Shrubland,Grassland (2010),5.8275
191,Shrubland,Shrubland (2010),963.4599
191,Shrubland,Wetland (2010),0.0027
191,Shrubland,Water (2010),0.2223
191,Shrubland,Bare land (2010),0.2412
191,Wetland,Forest (2010),4.8591
191,Wetland,Ocean (2010),0.0315
191,Wetland,Grassland (2010),0.0234
191,Wetland,Shrubland (2010),0.3861
191,Wetland,Wetland (2010),16.7985
191,Wetland,Water (2010),0.0144
191,Wetland,Artificial land (2010),0.0081
191,Wetland,Bare land (2010),0.27
191,Water,Forest (2010),0.2079
191,Water,Grassland (2010),0.4572
191,Water,Shrubland (2010),0.1818
191,Water,Wetland (2010),0.5373
191,Water,Water (2010),3.2697
191,Water,Bare land (2010),0.117
191,Artificial land,Ocean (2010),0.036
191,Artificial land,Grassland (2010),0.0405
191,Artificial land,Wetland (2010),0.0018
191,Artificial land,Artificial land (2010),3.2895
191,Bare land,Forest (2010),442.1115
191,Bare land,Ocean (2010),1.3356
191,Bare land,Grassland (2010),103.2552
191,Bare land,Shrubland (2010),0.0063
191,Bare land,Wetland (2010),0.0099
191,Bare land,Water (2010),0.0441
191,Bare land,Artificial land (2010),0.0117
191,Bare land,Bare land (2010),2437.371
197,Forest,Forest (2010),573.435
197,Forest,Grassland (2010),0.0018
197,Forest,Shrubland (2010),0.0603
197,Forest,Artificial land (2010),0.7497
197,Grassland,Forest (2010),0.0675
197,Grassland,Grassland (2010),0.0441
197,Grassland,Shrubland (2010),0.0108
197,Grassland,Artificial land (2010),0.0009
197,Shrubland,Forest (2010),0.0009
197,Shrubland,Shrubland (2010),0.0207
197,Artificial land,Forest (2010),0.7533
197,Artificial land,Artificial land (2010),0.8802
2004,Cultivated land,Cultivated land (2010),0.0441
2004,Cultivated land,Forest (2010),0.0027
2004,Cultivated land,Shrubland (2010),0.018
2004,Forest,Cultivated land (2010),0.0009
2004,Forest,Forest (2010),2.6793
2004,Forest,Grassland (2010),0.0909
2004,Forest,Shrubland (2010),0.6246
2004,Forest,Water (2010),0.2322
2004,Grassland,Forest (2010),0.0495
2004,Grassland,Grassland (2010),64.8414
2004,Grassland,Shrubland (2010),1.2024
2004,Grassland,Water (2010),0.1431
2004,Shrubland,Cultivated land (2010),0.0306
2004,Shrubland,Forest (2010),1.0917
2004,Shrubland,Grassland (2010),5.8419
2004,Shrubland,Shrubland (2010),3.8259
2004,Shrubland,Water (2010),0.2124
2004,Wetland,Forest (2010),0.0333
2004,Wetland,Grassland (2010),0.0711
2004,Wetland,Shrubland (2010),0.0594
2004,Wetland,Water (2010),0.036
2004,Water,Forest (2010),0.2376
2004,Water,Grassland (2010),0.2214
2004,Water,Shrubland (2010),0.0999
2004,Water,Wetland (2010),0.0099
2004,Water,Water (2010),2.1717
2005,Permanent ice or snow,Permanent ice or snow (2010),0.3528
2005,Permanent ice or snow,Forest (2010),0.0207
2005,Permanent ice or snow,Tundra (2010),10.3761
2005,Forest,Permanent ice or snow (2010),0.0099
2005,Forest,Forest (2010),1864.2078
2005,Forest,Wetland (2010),12.9483
2005,Forest,Water (2010),3.744
2005,Forest,Tundra (2010),195.7383
2005,Wetland,Forest (2010),2.1879
2005,Wetland,Wetland (2010),8.6013
2005,Wetland,Water (2010),0.738
2005,Wetland,Tundra (2010),2.4453
2005,Water,Forest (2010),5.4684
2005,Water,Wetland (2010),1.9926
2005,Water,Water (2010),45.9387
2005,Water,Tundra (2010),14.6511
2005,Tundra,Permanent ice or snow (2010),5.7663
2005,Tundra,Forest (2010),41.6142
2005,Tundra,Wetland (2010),5.715
2005,Tundra,Water (2010),4.5225
2005,Tundra,Tundra (2010),2626.8975
2006,Cultivated land,Cultivated land (2010),5.9328
2006,Cultivated land,Forest (2010),4.5081
2006,Cultivated land,Grassland (2010),1.3608
2006,Cultivated land,Shrubland (2010),0.0108
2006,Forest,Cultivated land (2010),0.1503
2006,Forest,Forest (2010),62.9883
2006,Forest,Grassland (2010),8.1297
2006,Forest,Shrubland (2010),0.0063
2006,Grassland,Cultivated land (2010),0.2421
2006,Grassland,Forest (2010),35.7075
2006,Grassland,Grassland (2010),12.4155
2006,Grassland,Shrubland (2010),0.2556
2006,Shrubland,Forest (2010),0.0297
2006,Shrubland,Grassland (2010),0.0144
2007,Permanent ice or snow,Permanent ice or snow (2010),79.5555
2007,Permanent ice or snow,Forest (2010),0.0072
2007,Permanent ice or snow,Water (2010),0.0009
2007,Permanent ice or snow,Bare land (2010),0.5256
2007,Forest,Permanent ice or snow (2010),0.0009
2007,Forest,Forest (2010),24.9129
2007,Forest,Grassland (2010),6.7149
2007,Forest,Shrubland (2010),3.3624
2007,Forest,Water (2010),0.0405
2007,Forest,Artificial land (2010),0.0009
2007,Forest,Bare land (2010),3.2994
2007,Grassland,Forest (2010),0.5328
2007,Grassland,Grassland (2010),222.093
2007,Grassland,Shrubland (2010),13.9068
2007,Grassland,Water (2010),0.0432
2007,Grassland,Artificial land (2010),0.0036
2007,Grassland,Bare land (2010),20.2959
2007,Shrubland,Forest (2010),3.7431
2007,Shrubland,Grassland (2010),19.3473
2007,Shrubland,Shrubland (2010),36.8685
2007,Shrubland,Water (2010),0.0171
2007,Shrubland,Artificial land (2010),0.0018
2007,Shrubland,Bare land (2010),0.4293
2007,Water,Permanent ice or snow (2010),0.0009
2007,Water,Forest (2010),0.0018
2007,Water,Grassland (2010),0.3474
2007,Water,Shrubland (2010),0.0108
2007,Water,Water (2010),4.6899
2007,Water,Bare land (2010),0.5238
2007,Artificial land,Forest (2010),0.0009
2007,Artificial land,Grassland (2010),0.009
2007,Artificial land,Shrubland (2010),0.0027
2007,Artificial land,Artificial land (2010),0.0882
2007,Bare land,Permanent ice or snow (2010),1.251
2007,Bare land,Forest (2010),9.0792
2007,Bare land,Grassland (2010),166.1706
2007,Bare land,Shrubland (2010),6.1938
2007,Bare land,Water (2010),0.7713
2007,Bare land,Artificial land (2010),0.0063
2007,Bare land,Bare land (2010),515.3868
2008,No data,Cultivated land (2010),0.0171
2008,No data,Forest (2010),0.3465
2008,Cultivated land,No data (2010),0.0162
2008,Cultivated land,Cultivated land (2010),23.4738
2008,Cultivated land,Forest (2010),8.6769
2008,Cultivated land,Grassland (2010),8.5617
2008,Cultivated land,Wetland (2010),0.0306
2008,Cultivated land,Water (2010),0.009
2008,Cultivated land,Artificial land (2010),0.1638
2008,Forest,Cultivated land (2010),6.5097
2008,Forest,Forest (2010),1257.7392
2008,Forest,Grassland (2010),4.248
2008,Forest,Wetland (2010),0.0468
2008,Forest,Water (2010),0.0666
2008,Forest,Artificial land (2010),0.0108
2008,Grassland,Cultivated land (2010),2.6325
2008,Grassland,Forest (2010),4.8078
2008,Grassland,Grassland (2010),123.4944
2008,Grassland,Wetland (2010),0.0189
2008,Grassland,Water (2010),0.0081
2008,Wetland,Cultivated land (2010),0.0396
2008,Wetland,Forest (2010),0.0387
2008,Wetland,Grassland (2010),0.0009
2008,Wetland,Wetland (2010),2.1879
2008,Wetland,Water (2010),0.0081
2008,Water,Cultivated land (2010),0.1764
2008,Water,Forest (2010),0.5472
2008,Water,Grassland (2010),0.0441
2008,Water,Wetland (2010),0.0135
2008,Water,Water (2010),1.485
2008,Artificial land,Cultivated land (2010),0.0333
2008,Artificial land,Artificial land (2010),0.0774
2010,Cultivated land,Cultivated land (2010),64.035
2010,Cultivated land,Forest (2010),5.8815
2010,Cultivated land,Grassland (2010),25.1235
2010,Cultivated land,Shrubland (2010),0.4518
2010,Forest,Cultivated land (2010),22.2363
2010,Forest,Forest (2010),1125.6111
2010,Forest,Grassland (2010),517.455
2010,Forest,Shrubland (2010),13.2795
2010,Forest,Water (2010),0.0045
2010,Grassland,Cultivated land (2010),32.2119
2010,Grassland,Forest (2010),147.519
2010,Grassland,Grassland (2010),6031.8819
2010,Grassland,Shrubland (2010),77.0526
2010,Grassland,Water (2010),0.2016
2010,Shrubland,Cultivated land (2010),0.4716
2010,Shrubland,Forest (2010),10.5273
2010,Shrubland,Grassland (2010),145.0782
2010,Shrubland,Shrubland (2010),11.5506
2010,Shrubland,Water (2010),0.9693
2010,Water,Forest (2010),1.9665
2010,Water,Grassland (2010),14.8824
2010,Water,Shrubland (2010),2.0106
2010,Water,Water (2010),22.9383
2010,Bare land,Cultivated land (2010),0.0261
2010,Bare land,Forest (2010),0.171
2010,Bare land,Grassland (2010),7.641
2010,Bare land,Shrubland (2010),0.4995
2010,Bare land,Water (2010),0.0963
2011,No data,Wetland (2010),0.0009
2011,No data,Water (2010),0.0018
2011,Forest,Forest (2010),935.2818
2011,Forest,Grassland (2010),0.3438
2011,Forest,Shrubland (2010),65.7117
2011,Forest,Wetland (2010),0.3366
2011,Forest,Water (2010),0.3825
2011,Forest,Artificial land (2010),0.3321
2011,Forest,Bare land (2010),0.7074
2011,Grassland,Forest (2010),0.2475
2011,Grassland,Grassland (2010),373.041
2011,Grassland,Shrubland (2010),42.6411
2011,Grassland,Wetland (2010),0.0855
2011,Grassland,Water (2010),0.6903
2011,Grassland,Artificial land (2010),0.0009
2011,Grassland,Bare land (2010),0.7497
2011,Shrubland,Forest (2010),15.4431
2011,Shrubland,Grassland (2010),87.0525
2011,Shrubland,Shrubland (2010),3212.4132
2011,Shrubland,Wetland (2010),1.3347
2011,Shrubland,Water (2010),7.0317
2011,Shrubland,Artificial land (2010),0.0387
2011,Shrubland,Bare land (2010),11.4426
2011,Wetland,Forest (2010),0.0441
2011,Wetland,Shrubland (2010),0.0576
2011,Wetland,Wetland (2010),4.1643
2011,Wetland,Water (2010),0.0324
2011,Water,No data (2010),0.0009
2011,Water,Forest (2010),0.1557
2011,Water,Grassland (2010),0.189
2011,Water,Shrubland (2010),3.2985
2011,Water,Wetland (2010),0.4707
2011,Water,Water (2010),19.2528
2011,Water,Bare land (2010),0.1296
2011,Artificial land,Forest (2010),0.0432
2011,Artificial land,Shrubland (2010),0.0162
2011,Artificial land,Water (2010),0.0018
2011,Artificial land,Artificial land (2010),6.0102
2011,Bare land,Forest (2010),0.5985
2011,Bare land,Grassland (2010),0.5877
2011,Bare land,Shrubland (2010),5.5296
2011,Bare land,Wetland (2010),0.0144
2011,Bare land,Water (2010),0.108
2011,Bare land,Artificial land (2010),0.0009
2011,Bare land,Bare land (2010),90.333
2012,Cultivated land,Cultivated land (2010),0.0558
2012,Cultivated land,Shrubland (2010),0.0018
2012,Cultivated land,Wetland (2010),0.0387
2012,Forest,Cultivated land (2010),0.0027
2012,Forest,Forest (2010),0.891
2012,Forest,Grassland (2010),0.0189
2012,Forest,Shrubland (2010),0.0405
2012,Forest,Wetland (2010),0.6345
2012,Forest,Water (2010),0.171
2012,Forest,Artificial land (2010),0.018
2012,Ocean,Forest (2010),3.8349
2012,Ocean,Ocean (2010),1960.2558
2012,Ocean,Grassland (2010),0.3951
2012,Ocean,Shrubland (2010),0.1989
2012,Ocean,Wetland (2010),1.9908
2012,Ocean,Water (2010),8.3322
2012,Ocean,Artificial land (2010),0.0207
2012,Grassland,Forest (2010),0.3069
2012,Grassland,Ocean (2010),0.0117
2012,Grassland,Grassland (2010),10.9179
2012,Grassland,Shrubland (2010),1.1142
2012,Grassland,Wetland (2010),0.3924
2012,Grassland,Water (2010),0.8811
2012,Grassland,Artificial land (2010),0.0432
2012,Shrubland,Forest (2010),0.0243
2012,Shrubland,Ocean (2010),0.0018
2012,Shrubland,Shrubland (2010),0.1431
2012,Shrubland,Wetland (2010),0.1125
2012,Shrubland,Water (2010),0.4113
2012,Shrubland,Artificial land (2010),0.0027
2012,Wetland,Cultivated land (2010),0.0027
2012,Wetland,Forest (2010),2.2122
2012,Wetland,Ocean (2010),12.7476
2012,Wetland,Grassland (2010),2.5578
2012,Wetland,Shrubland (2010),1.8288
2012,Wetland,Wetland (2010),3465.36
2012,Wetland,Water (2010),24.5601
2012,Wetland,Artificial land (2010),0.7677
2012,Wetland,Bare land (2010),0.1701
2012,Water,Forest (2010),2.5344
2012,Water,Ocean (2010),0.4194
2012,Water,Grassland (2010),0.0315
2012,Water,Shrubland (2010),0.1287
2012,Water,Wetland (2010),20.196
2012,Water,Water (2010),327.9825
2012,Water,Artificial land (2010),0.0054
2012,Water,Bare land (2010),0.0072
2012,Artificial land,Forest (2010),0.0549
2012,Artificial land,Ocean (2010),0.0279
2012,Artificial land,Grassland (2010),0.0054
2012,Artificial land,Shrubland (2010),0.0441
2012,Artificial land,Wetland (2010),0.5904
2012,Artificial land,Water (2010),0.0072
2012,Artificial land,Artificial land (2010),1.3662
2012,Artificial land,Bare land (2010),0.0018
2012,Bare land,Forest (2010),0.0855
2012,Bare land,Grassland (2010),0.0612
2012,Bare land,Shrubland (2010),0.0936
2012,Bare land,Wetland (2010),0.1242
2012,Bare land,Artificial land (2010),0.0036
2012,Bare land,Bare land (2010),0.5769
2013,Permanent ice or snow,Permanent ice or snow (2010),0.0945
2013,Permanent ice or snow,Grassland (2010),0.0531
2013,Permanent ice or snow,Shrubland (2010),0.0693
2013,Permanent ice or snow,Water (2010),0.0018
2013,Permanent ice or snow,Artificial land (2010),0.0063
2013,Forest,Forest (2010),3114.5337
2013,Forest,Grassland (2010),0.9126
2013,Forest,Shrubland (2010),11.4966
2013,Forest,Wetland (2010),11.0493
2013,Forest,Water (2010),0.9054
2013,Forest,Artificial land (2010),0.0342
2013,Forest,Bare land (2010),0.5031
2013,Grassland,Permanent ice or snow (2010),0.0378
2013,Grassland,Forest (2010),0.918
2013,Grassland,Grassland (2010),972.3654
2013,Grassland,Shrubland (2010),7.2405
2013,Grassland,Wetland (2010),9.2313
2013,Grassland,Water (2010),0.4617
2013,Grassland,Artificial land (2010),4.176
2013,Grassland,Bare land (2010),0.495
2013,Shrubland,Permanent ice or snow (2010),0.0135
2013,Shrubland,Forest (2010),11.5866
2013,Shrubland,Grassland (2010),7.3242
2013,Shrubland,Shrubland (2010),4076.2755
2013,Shrubland,Wetland (2010),17.4573
2013,Shrubland,Water (2010),3.6054
2013,Shrubland,Artificial land (2010),0.1404
2013,Shrubland,Bare land (2010),0.5868
2013,Wetland,Forest (2010),9.1422
2013,Wetland,Grassland (2010),6.4314
2013,Wetland,Shrubland (2010),12.4722
2013,Wetland,Wetland (2010),160.947
2013,Wetland,Water (2010),3.7053
2013,Wetland,Artificial land (2010),0.2493
2013,Wetland,Bare land (2010),1.7379
2013,Water,Forest (2010),2.3148
2013,Water,Grassland (2010),0.5463
2013,Water,Shrubland (2010),10.2987
2013,Water,Wetland (2010),2.6712
2013,Water,Water (2010),401.4126
2013,Water,Artificial land (2010),0.0288
2013,Water,Bare land (2010),0.2394
2013,Artificial land,Forest (2010),0.0126
2013,Artificial land,Grassland (2010),0.1386
2013,Artificial land,Shrubland (2010),0.5148
2013,Artificial land,Wetland (2010),0.0153
2013,Artificial land,Artificial land (2010),7.4376
2013,Bare land,Permanent ice or snow (2010),0.0036
2013,Bare land,Forest (2010),0.6246
2013,Bare land,Grassland (2010),0.3078
2013,Bare land,Shrubland (2010),0.6237
2013,Bare land,Wetland (2010),0.2457
2013,Bare land,Water (2010),0.6381
2013,Bare land,Artificial land (2010),0.0234
2013,Bare land,Bare land (2010),92.232
2015,Cultivated land,Cultivated land (2010),217.0908
2015,Cultivated land,Forest (2010),2.9736
2015,Cultivated land,Grassland (2010),0.0252
2015,Cultivated land,Wetland (2010),0.0036
2015,Cultivated land,Water (2010),0.6066
2015,Cultivated land,Artificial land (2010),2.0889
2015,Forest,Cultivated land (2010),6.1587
2015,Forest,Forest (2010),256.374
2015,Forest,Grassland (2010),0.3978
2015,Forest,Water (2010),0.1359
2015,Forest,Artificial land (2010),0.0603
2015,Grassland,Cultivated land (2010),0.234
2015,Grassland,Forest (2010),0.297
2015,Grassland,Grassland (2010),70.8093
2015,Wetland,Cultivated land (2010),0.0459
2015,Wetland,Wetland (2010),0.5571
2015,Wetland,Water (2010),0.009
2015,Wetland,Artificial land (2010),0.0117
2015,Water,Cultivated land (2010),0.2835
2015,Water,Forest (2010),0.1449
2015,Water,Wetland (2010),0.0315
2015,Water,Water (2010),243.3924
2015,Water,Artificial land (2010),0.0198
2015,Artificial land,Cultivated land (2010),2.6244
2015,Artificial land,Forest (2010),0.054
2015,Artificial land,Wetland (2010),0.0009
2015,Artificial land,Water (2010),0.081
2015,Artificial land,Artificial land (2010),24.7428
2016,Cultivated land,Cultivated land (2010),20.8656
2016,Cultivated land,Forest (2010),1.3131
2016,Cultivated land,Shrubland (2010),0.0702
2016,Cultivated land,Artificial land (2010),0.0432
2016,Forest,Cultivated land (2010),1.2177
2016,Forest,Forest (2010),258.3009
2016,Forest,Grassland (2010),0.0432
2016,Forest,Shrubland (2010),0.8451
2016,Forest,Water (2010),0.0441
2016,Forest,Artificial land (2010),0.0342
2016,Grassland,Forest (2010),0.0414
2016,Grassland,Grassland (2010),0.2664
2016,Shrubland,Cultivated land (2010),0.1071
2016,Shrubland,Forest (2010),0.7983
2016,Shrubland,Shrubland (2010),9.5409
2016,Shrubland,Artificial land (2010),0.0009
2016,Water,Forest (2010),0.6948
2016,Water,Water (2010),1.3473
2016,Artificial land,Cultivated land (2010),0.2367
2016,Artificial land,Forest (2010),0.0576
2016,Artificial land,Shrubland (2010),0.0225
2016,Artificial land,Artificial land (2010),0.5913
2017,Cultivated land,Cultivated land (2010),196.0281
2017,Cultivated land,Forest (2010),17.6589
2017,Cultivated land,Grassland (2010),66.8619
2017,Cultivated land,Shrubland (2010),1.3329
2017,Cultivated land,Wetland (2010),0.8235
2017,Cultivated land,Water (2010),0.0045
2017,Cultivated land,Artificial land (2010),0.2817
2017,Permanent ice or snow,Permanent ice or snow (2010),0.2223
2017,Forest,Cultivated land (2010),75.1302
2017,Forest,Forest (2010),2997.7326
2017,Forest,Grassland (2010),1171.0719
2017,Forest,Shrubland (2010),27.5004
2017,Forest,Wetland (2010),5.49
2017,Forest,Water (2010),1.2582
2017,Forest,Artificial land (2010),0.1575
2017,Grassland,Cultivated land (2010),25.5537
2017,Grassland,Permanent ice or snow (2010),0.0144
2017,Grassland,Forest (2010),244.9755
2017,Grassland,Grassland (2010),1154.2806
2017,Grassland,Shrubland (2010),97.5375
2017,Grassland,Wetland (2010),7.6167
2017,Grassland,Water (2010),0.8307
2017,Grassland,Artificial land (2010),0.1422
2017,Shrubland,Forest (2010),0.0126
2017,Shrubland,Grassland (2010),0.3492
2017,Shrubland,Shrubland (2010),14.7942
2017,Shrubland,Wetland (2010),0.0009
2017,Wetland,Cultivated land (2010),1.3491
2017,Wetland,Forest (2010),4.9977
2017,Wetland,Grassland (2010),5.6097
2017,Wetland,Shrubland (2010),0.3015
2017,Wetland,Wetland (2010),49.3092
2017,Wetland,Water (2010),0.9729
2017,Wetland,Artificial land (2010),0.0009
2017,Water,Cultivated land (2010),0.234
2017,Water,Forest (2010),11.3553
2017,Water,Grassland (2010),4.1589
2017,Water,Shrubland (2010),0.1017
2017,Water,Wetland (2010),4.8825
2017,Water,Water (2010),1590.0003
2017,Water,Artificial land (2010),0.0153
2017,Artificial land,Cultivated land (2010),0.0216
2017,Artificial land,Forest (2010),0.0135
2017,Artificial land,Grassland (2010),0.2277
2017,Artificial land,Artificial land (2010),1.6227
2018,No data,Tundra (2010),0.0225
2018,Permanent ice or snow,No data (2010),1.9503
2018,Permanent ice or snow,Permanent ice or snow (2010),33630.336
2018,Permanent ice or snow,Forest (2010),17.9883
2018,Permanent ice or snow,Ocean (2010),3.3327
2018,Permanent ice or snow,Wetland (2010),0.4239
2018,Permanent ice or snow,Water (2010),13.9716
2018,Permanent ice or snow,Tundra (2010),6613.4736
2018,Forest,No data (2010),0.8865
2018,Forest,Permanent ice or snow (2010),5.0481
2018,Forest,Forest (2010),9242.415
2018,Forest,Ocean (2010),3.8781
2018,Forest,Wetland (2010),8.4942
2018,Forest,Water (2010),22.0347
2018,Forest,Tundra (2010),1025.3529
2018,Forest,Artificial land (2010),0.0234
2018,Ocean,Permanent ice or snow (2010),0.7794
2018,Ocean,Forest (2010),5.9436
2018,Ocean,Ocean (2010),2291.202
2018,Ocean,Wetland (2010),1.7226
2018,Ocean,Water (2010),0.0261
2018,Ocean,Tundra (2010),19.9908
2018,Wetland,No data (2010),0.0054
2018,Wetland,Permanent ice or snow (2010),0.1116
2018,Wetland,Forest (2010),7.6383
2018,Wetland,Ocean (2010),1.6551
2018,Wetland,Wetland (2010),181.8927
2018,Wetland,Water (2010),17.685
2018,Wetland,Tundra (2010),98.3439
2018,Water,No data (2010),0.0162
2018,Water,Permanent ice or snow (2010),10.9386
2018,Water,Forest (2010),30.9681
2018,Water,Ocean (2010),0.0909
2018,Water,Wetland (2010),48.1896
2018,Water,Water (2010),607.6872
2018,Water,Tundra (2010),125.7516
2018,Tundra,No data (2010),4.7754
2018,Tundra,Permanent ice or snow (2010),4984.5564
2018,Tundra,Forest (2010),988.2333
2018,Tundra,Ocean (2010),6.5772
2018,Tundra,Wetland (2010),47.0259
2018,Tundra,Water (2010),132.9408
2018,Tundra,Tundra (2010),38106.9504
2018,Tundra,Artificial land (2010),0.0081
2018,Artificial land,Forest (2010),0.0288
2018,Artificial land,Tundra (2010),0.0216
2018,Artificial land,Artificial land (2010),0.7146
2554,Forest,No data (2010),0.225
2554,Forest,Forest (2010),5497.4673
2554,Forest,Ocean (2010),0.0576
2554,Forest,Grassland (2010),1.6119
2554,Forest,Shrubland (2010),0.0297
2554,Forest,Wetland (2010),0.1449
2554,Forest,Water (2010),2.4876
2554,Forest,Artificial land (2010),0.0162
2554,Forest,Bare land (2010),0.1395
2554,Ocean,Forest (2010),0.1764
2554,Ocean,Ocean (2010),4.5171
2554,Ocean,Wetland (2010),0.2718
2554,Ocean,Bare land (2010),0.0684
2554,Grassland,Forest (2010),17.6085
2554,Grassland,Grassland (2010),0.0477
2554,Grassland,Shrubland (2010),0.0153
2554,Grassland,Wetland (2010),0.0045
2554,Grassland,Water (2010),0.0567
2554,Grassland,Artificial land (2010),0.0117
2554,Grassland,Bare land (2010),0.0171
2554,Shrubland,Forest (2010),0.639
2554,Shrubland,Grassland (2010),0.0234
2554,Shrubland,Shrubland (2010),0.0099
2554,Wetland,Ocean (2010),0.0027
2554,Wetland,Wetland (2010),0.0477
2554,Water,Forest (2010),1.602
2554,Water,Grassland (2010),0.0027
2554,Water,Wetland (2010),0.0117
2554,Water,Water (2010),3.384
2554,Artificial land,Forest (2010),0.0171
2554,Artificial land,Artificial land (2010),0.0405
2554,Bare land,Forest (2010),0.5319
2554,Bare land,Ocean (2010),0.0036
2554,Bare land,Wetland (2010),0.0018
2570,No data,Permanent ice or snow (2010),0.0054
2570,No data,Grassland (2010),0.0054
2570,No data,Water (2010),0.0036
2570,No data,Bare land (2010),0.0027
2570,Permanent ice or snow,Permanent ice or snow (2010),2848.1697
2570,Permanent ice or snow,Forest (2010),0.9693
2570,Permanent ice or snow,Grassland (2010),0.8208
2570,Permanent ice or snow,Water (2010),0.8514
2570,Permanent ice or snow,Bare land (2010),101.4552
2570,Forest,Permanent ice or snow (2010),0.3861
2570,Forest,Forest (2010),163.0674
2570,Forest,Grassland (2010),282.0969
2570,Forest,Water (2010),1.5921
2570,Forest,Bare land (2010),4.8933
2570,Grassland,Permanent ice or snow (2010),13.5639
2570,Grassland,Forest (2010),13.905
2570,Grassland,Grassland (2010),1576.9269
2570,Grassland,Wetland (2010),0.0396
2570,Grassland,Water (2010),3.9438
2570,Grassland,Bare land (2010),45.4995
2570,Wetland,Forest (2010),0.0081
2570,Wetland,Grassland (2010),0.0738
2570,Wetland,Wetland (2010),7.2072
2570,Wetland,Water (2010),0.0054
2570,Water,Permanent ice or snow (2010),0.846
2570,Water,Forest (2010),0.2502
2570,Water,Grassland (2010),5.5584
2570,Water,Wetland (2010),0.0513
2570,Water,Water (2010),1014.9894
2570,Water,Bare land (2010),4.3092
2570,Bare land,Permanent ice or snow (2010),144.2988
2570,Bare land,Forest (2010),0.378
2570,Bare land,Grassland (2010),60.1587
2570,Bare land,Wetland (2010),0.0522
2570,Bare land,Water (2010),7.9776
2570,Bare land,Bare land (2010),949.1247
2571,No data,Forest (2010),0.108
2571,No data,Ocean (2010),10.2636
2571,No data,Grassland (2010),0.0072
2571,No data,Shrubland (2010),0.0009
2571,No data,Bare land (2010),0.0027
2571,Cultivated land,Forest (2010),0.0594
2571,Cultivated land,Ocean (2010),0.351
2571,Cultivated land,Grassland (2010),0.0648
2571,Cultivated land,Shrubland (2010),0.0324
2571,Cultivated land,Wetland (2010),0.0027
2571,Cultivated land,Artificial land (2010),0.0009
2571,Cultivated land,Bare land (2010),0.0027
2571,Forest,No data (2010),0.0171
2571,Forest,Cultivated land (2010),0.0009
2571,Forest,Forest (2010),1458.6237
2571,Forest,Ocean (2010),25.5915
2571,Forest,Grassland (2010),13.2966
2571,Forest,Shrubland (2010),20.2932
2571,Forest,Wetland (2010),9.0702
2571,Forest,Water (2010),0.7353
2571,Forest,Artificial land (2010),0.171
2571,Forest,Bare land (2010),5.5224
2571,Ocean,No data (2010),2.3706
2571,Ocean,Forest (2010),71.244
2571,Ocean,Ocean (2010),326423.2041
2571,Ocean,Grassland (2010),55.7352
2571,Ocean,Shrubland (2010),8.0847
2571,Ocean,Wetland (2010),48.2868
2571,Ocean,Water (2010),70.0902
2571,Ocean,Artificial land (2010),0.2835
2571,Ocean,Bare land (2010),12.3633
2571,Grassland,Cultivated land (2010),0.0009
2571,Grassland,Forest (2010),17.2683
2571,Grassland,Ocean (2010),1.1052
2571,Grassland,Grassland (2010),65.2572
2571,Grassland,Shrubland (2010),2.2995
2571,Grassland,Wetland (2010),1.0179
2571,Grassland,Water (2010),0.7704
2571,Grassland,Artificial land (2010),0.2907
2571,Grassland,Bare land (2010),1.6605
2571,Shrubland,No data (2010),0.0036
2571,Shrubland,Forest (2010),4.0851
2571,Shrubland,Ocean (2010),1.8099
2571,Shrubland,Grassland (2010),1.6767
2571,Shrubland,Shrubland (2010),56.6001
2571,Shrubland,Wetland (2010),0.5787
2571,Shrubland,Bare land (2010),0.4725
2571,Wetland,No data (2010),0.0297
2571,Wetland,Forest (2010),20.1015
2571,Wetland,Ocean (2010),41.5611
2571,Wetland,Grassland (2010),24.6258
2571,Wetland,Shrubland (2010),7.4097
2571,Wetland,Wetland (2010),449.4384
2571,Wetland,Water (2010),5.0724
2571,Wetland,Artificial land (2010),0.0279
2571,Wetland,Bare land (2010),1.4508
2571,Water,Cultivated land (2010),0.0009
2571,Water,Forest (2010),0.8919
2571,Water,Ocean (2010),0.4428
2571,Water,Grassland (2010),4.3596
2571,Water,Shrubland (2010),0.1161
2571,Water,Wetland (2010),6.1668
2571,Water,Water (2010),4.5153
2571,Water,Bare land (2010),0.0657
2571,Artificial land,Forest (2010),0.1971
2571,Artificial land,Ocean (2010),0.0756
