wdpaid,year,class,pixels,path_2000_tif,path_2010_tif
191,2000-2010,20-255,632,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,30-20,571832,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,60-20,231,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,40-30,76,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,40-90,267,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,20-60,5,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,90-50,11,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,50-60,16,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,20-20,2160221,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,50-255,35,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
