oid, id, partcount, pointcount
270,167919.0,23,7530
271,68915720.0,4,3849
272,68915720.0,4,3849
273,29440.0,1,1084
274,22719908.0,2,9122
275,67870015.0,32,453575
276,22717687.0,22,3701
277,22724718.0,1,26
278,132869.0,71,316298
279,40087.0,23,26413
280,22696012.0,4,6785
281,57018.0,1,19
282,41703.0,4,3325
283,22690364.0,26,1581
284,22690364.0,105,8663
285,75605448.0,4,2364
286,7013.0,3,3669
287,165649.0,10,18533
288,202691.0,37,8869
289,202691.0,4,18732
290,202691.0,262,102295
291,202691.0,21,31197
292,155580.0,228,29830
293,155580.0,93,12108
294,155580.0,621,99685
295,187804.0,7,18673
296,5832.0,1,16
297,57284.0,4,1995
298,68381992.0,3,2323
299,68381992.0,32,15497
300,134511.0,1,2152
301,167212.0,129,6547
302,167212.0,3,1188
303,167212.0,469,42781
304,167212.0,19,6931
305,181929.0,6,619
306,203210.0,1,11835
307,22698707.0,286,37307
308,79749856.0,1,1038
309,187698.0,73,265776
310,194301.0,4,96231
311,22708037.0,1,6100
312,178435.0,32,1955
313,49829791.0,1,470
314,49829791.0,3,1862
315,15440.0,1,3803
316,31237.0,2,13624
317,31237.0,1,1927
318,31237.0,1,3328
319,59735.0,1,280
320,63251.0,6,16382
321,63251.0,13,16828
322,133530.0,41,229317
323,133574.0,1,601
324,13509199.0,1,110
325,183621.0,1,376
326,20.0,2,22
327,169261.0,32,24510
328,169261.0,6,6436
329,169261.0,7,1810
330,22687069.0,1,100
331,157287.0,7,2838
332,69592071.0,30,244394
333,22693672.0,1,224
334,22693672.0,1,55
335,154762.0,4,7047
336,167218.0,332,21484
337,167218.0,1,526
338,167218.0,1,236
339,167218.0,9,470
340,167218.0,1,325
341,167218.0,1,379
342,167218.0,4,1019
343,167218.0,95,3505
344,167218.0,1,270
345,168617.0,5641,268559
346,185363.0,7,9180
347,193114.0,20,289389
348,60118.0,1,28
349,22721902.0,2,66
350,158233.0,3,2912
351,22684940.0,2,945
352,49254663.0,1,98
353,182362.0,1,1808
354,7980.0,1,31
355,18323.0,2,7763
356,22684331.0,2,670
357,22684331.0,337,34472
358,22684331.0,447,39448
359,22684331.0,164,62754
360,22684331.0,4,295
361,22734033.0,270,101473
362,22734033.0,2957,220011
363,22734033.0,2,74
364,22683587.0,3,602
365,181941.0,1,1025
366,181941.0,2,2195
367,59763.0,2,145
368,60515.0,1,704
369,13243.0,8,40490
370,54842.0,1,8
371,194874.0,10,285445
372,181699.0,1,517
373,56693.0,1,40
374,199841.0,1,233
375,134513.0,1,1048
376,134915.0,23,5470
377,133512.0,1,6327
378,502.0,1,891
379,10644.0,4,19599
380,58631.0,1,27
381,181586.0,31,44151
382,181586.0,32,36922
383,20429869.0,127,569010
384,169847.0,8,4108
385,170384.0,321,27916
386,51247708.0,1,5811
387,170598.0,299,53536
388,198198.0,1,263
389,22706900.0,9,18323
390,41739.0,2,34473
391,169448.0,3,1539
392,169448.0,3,2583
393,178322.0,1,45
394,15179459.0,2,23150
395,202151.0,22,8715
396,202151.0,39,57910
397,202151.0,10,12883
398,61485.0,1,25
399,61485.0,3,875
400,166896.0,1,3591
401,190697.0,21,46765
402,68486388.0,7,4049
